City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
3,Jamestown,US,78.85,42.097,-79.2353,Hampton Inn & Suites Jamestown
5,Yellowknife,CA,75.29,62.456,-114.3525,The Explorer Hotel
6,Tiarei,PF,86.02,-17.5333,-149.3333,Le Rocher de Tahiti
8,Sur,OM,89.4,22.5667,59.5289,Sur Plaza Hotel
9,Hasaki,JP,75.6,35.7333,140.8333,Hotel Sunrise Choshi
14,Faanui,PF,79.66,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
15,Hithadhoo,MV,81.3,-0.6,73.0833,Scoop Guest House
22,Atuona,PF,77.52,-9.8,-139.0333,Villa Enata
25,Kalmunai,LK,80.35,7.4167,81.8167,VS Villa
35,Freeport,US,82.65,40.6576,-73.5832,The Freeport Inn and Marina
36,Cayenne,GF,82.44,4.9333,-52.3333,Hôtel Le Dronmi
37,Thunder Bay,CA,81.99,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
40,Shenjiamen,CN,79.03,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
44,Kapaa,US,84.52,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Axim,GH,75.88,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
48,High Level,CA,77.63,58.5169,-117.13600000000001,Days Inn by Wyndham High Level
50,Syracuse,IT,82.62,37.0881,15.2792,Hotel Posta
54,Namatanai,PG,81.28,-3.6667,152.4333,Seagulls Inn Namatani
56,High Rock,BS,84.22,26.6208,-78.2833,Hideaway Bahamas Beach Club
59,Nicoya,CR,85.55,10.1483,-85.45200000000001,Guayacan Real
61,Avarua,CK,76.66,-21.2078,-159.775,Paradise Inn
71,Katsina,NG,79.47,12.9894,7.6006,Katsina Motel
72,Hanna,CA,76.78,51.6334,-111.9018,"West View Motel, Hanna, AB"
73,Bubaque,GW,79.2,11.2833,-15.8333,"Casa Dora, Bubaque"
74,Hilo,US,81.63,19.7297,-155.09,Hilo Hawaiian Hotel
76,Vaini,TO,77.16,-21.2,-175.2,Keleti Beach Resort
78,Ormara,PK,83.5,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
79,Lincoln,US,86.09,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
80,Gilgit,PK,77.47,35.9221,74.3087,Tourist Hamlet Gilgit
83,Dingle,PH,76.96,10.9995,122.6711,SEGAYA PROPERTY
88,Puerto Ayora,EC,82.36,-0.7393,-90.3518,Finch Bay Galapagos Hotel
101,Sao Felix Do Xingu,BR,84.54,-6.6447,-51.995,Rio Xingu Camping
106,Tabou,CI,76.35,4.423,-7.3528,hotêl doufoulougou
109,Melfi,IT,76.23,40.9965,15.6514,HOTEL TERME DI RAPOLLA
110,Kavieng,PG,82.98,-2.5744,150.7967,Nusa Island Retreat
113,Half Moon Bay,US,87.75,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
114,Carutapera,BR,77.65,-1.195,-46.02,Lidera
116,Freetown,SL,76.62,8.484,-13.2299,The Country Lodge Hotel
