City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Havre-Saint-Pierre,50.2334,-63.5986,60.73,62,37,21.16,CA,2021-07-12 22:04:26
Port Alfred,-33.5906,26.891,54.18,80,68,31.32,ZA,2021-07-12 22:04:26
Rikitea,-23.1203,-134.9692,73.83,74,1,13.31,PF,2021-07-12 22:04:26
Jamestown,42.097,-79.2353,78.85,87,90,5.01,US,2021-07-12 22:04:27
Hanyang,32.1371,105.5126,72.86,95,77,1.61,CN,2021-07-12 22:04:27
Yellowknife,62.456,-114.3525,75.29,40,75,10.51,CA,2021-07-12 22:00:15
Tiarei,-17.5333,-149.3333,86.02,76,10,19.66,PF,2021-07-12 22:04:27
Sao Joao Da Barra,-21.6403,-41.0511,73.49,86,0,9.17,BR,2021-07-12 21:55:15
Sur,22.5667,59.5289,89.4,60,100,6.22,OM,2021-07-12 22:04:28
Hasaki,35.7333,140.8333,75.6,92,100,2.46,JP,2021-07-12 22:04:28
Dunedin,-45.8742,170.5036,43.72,81,100,4.68,NZ,2021-07-12 22:04:28
Carnarvon,-24.8667,113.6333,67.5,65,99,16.84,AU,2021-07-12 22:04:28
Punta Arenas,-53.15,-70.9167,35.11,80,15,25.55,CL,2021-07-12 22:04:29
Longyearbyen,78.2186,15.6401,42.64,87,75,0.0,SJ,2021-07-12 22:04:29
Faanui,-16.4833,-151.75,79.66,73,3,20.51,PF,2021-07-12 22:04:29
Hithadhoo,-0.6,73.0833,81.3,75,100,3.74,MV,2021-07-12 22:04:30
Lata,40.1629,-8.3327,59.05,94,7,5.35,PT,2021-07-12 22:04:30
Bambous Virieux,-20.3428,57.7575,70.21,66,44,17.67,MU,2021-07-12 22:04:30
Sakakah,29.9697,40.2064,92.8,16,1,17.52,SA,2021-07-12 22:04:30
Ushuaia,-54.8,-68.3,32.2,92,97,7.34,AR,2021-07-12 22:00:35
Hobart,-42.8794,147.3294,50.25,82,20,1.99,AU,2021-07-12 22:04:06
Ancud,-41.8697,-73.8203,46.22,75,82,4.34,CL,2021-07-12 22:04:31
Atuona,-9.8,-139.0333,77.52,76,10,21.61,PF,2021-07-12 22:04:31
Cidreira,-30.1811,-50.2056,60.48,86,100,10.0,BR,2021-07-12 22:04:31
Pevek,69.7008,170.3133,40.71,85,25,5.5,RU,2021-07-12 22:03:11
Kalmunai,7.4167,81.8167,80.35,72,100,4.72,LK,2021-07-12 22:04:32
Kruisfontein,-34.0033,24.7314,50.88,63,100,28.03,ZA,2021-07-12 22:04:32
Esperance,-33.8667,121.9,61.03,65,44,26.35,AU,2021-07-12 22:04:32
Kaitangata,-46.2817,169.8464,42.67,90,99,5.35,NZ,2021-07-12 22:04:32
Saint-Philippe,-21.3585,55.7679,69.39,80,43,13.98,RE,2021-07-12 22:04:33
Hermanus,-34.4187,19.2345,46.8,70,100,26.49,ZA,2021-07-12 22:04:33
Baghdad,33.3406,44.4009,91.31,25,0,8.05,IQ,2021-07-12 22:04:33
Tiksi,71.6872,128.8694,45.52,67,42,6.08,RU,2021-07-12 22:04:34
Bluff,-46.6,168.3333,45.63,74,68,5.3,NZ,2021-07-12 22:01:09
Puerto Baquerizo Moreno,-0.9,-89.6,72.09,77,77,11.48,EC,2021-07-12 22:04:34
Freeport,40.6576,-73.5832,82.65,87,90,1.99,US,2021-07-12 22:02:33
Cayenne,4.9333,-52.3333,82.44,83,95,1.99,GF,2021-07-12 22:04:34
Thunder Bay,48.4001,-89.3168,81.99,52,22,8.55,CA,2021-07-12 22:04:34
Jinka,5.65,36.65,65.71,70,64,1.83,ET,2021-07-12 22:04:35
Busselton,-33.65,115.3333,54.05,70,29,21.88,AU,2021-07-12 22:04:35
Shenjiamen,29.9576,122.298,79.03,90,100,24.18,CN,2021-07-12 22:04:35
New Norfolk,-42.7826,147.0587,49.91,83,76,1.99,AU,2021-07-12 22:04:36
Pisco,-13.7,-76.2167,66.02,87,21,7.29,PE,2021-07-12 22:04:36
Leningradskiy,69.3833,178.4167,50.11,76,49,11.81,RU,2021-07-12 22:04:36
Kapaa,22.0752,-159.319,84.52,75,40,4.0,US,2021-07-12 22:04:36
Qaanaaq,77.484,-69.3632,43.11,64,76,7.9,GL,2021-07-12 22:04:37
Axim,4.8699,-2.2405,75.88,79,73,7.31,GH,2021-07-12 22:04:37
Port Huron,42.9709,-82.4249,73.87,78,90,3.44,US,2021-07-12 22:04:37
